name	year	occupation
Henry Timrod	1828	writer,poet,journalist
Henry Ulke	1821	photographer,zoologist,painter,entomologist
Henry Villard	1835	writer,war correspondent,journalist,financier
Henry Wadsworth Longfellow	1807	writer,poet,professor,translator,novelist
Henry Way Kendall	1926	physicist,university teacher,mountaineer
Henry William Stiegel	1729	engineer,ironmaster,glassmaker,iron founder,metallurgist
Henry Winterfeld	1901	writer,children's writer,novelist
Henry Wirz	1823	military personnel
Henry Y. Cranston	1789	lawyer,politician,military officer
Herb Bushler	1939	conductor,musician
Herb Gardner	1934	screenwriter,writer,playwright,graphic designer,cartoonist,film director
Herb Geller	1928	composer,university teacher,saxophonist,jazz musician
Herb Jeffries	1913	actor,singer,singer-songwriter,television actor,film actor,jazz musician
Herb Sutter	2000	engineer,computer scientist
Herbert A. Hauptman	1917	mathematician,chemist,university teacher,philosopher,crystallographer
Herbert Altshuler	1945	military personnel
Herbert Bayer	1900	photographer,architect,type designer,graphic designer,painter,sculptor,graphic artist
Herbert Biberman	1900	screenwriter,film director,film producer
Herbert Blaché	1882	screenwriter,film director,film producer
Herbert Busemann	1905	mathematician,university teacher
Herbert C. Brown	1912	chemist,university teacher
Herbert Dieckmann	1906	university teacher,romanist,literary historian
Herbert E. Hitchcock	1867	lawyer,politician
Herbert Federer	1920	mathematician,university teacher
Herbert Feigl	1902	university teacher,philosopher
Herbert Freudenberger	1926	psychologist,academic,non-fiction writer
Herbert Freundlich	1880	chemist,university teacher
Herbert Graf	1903	theatrical producer,film director,opera director
Herbert Hoover	1874	geologist,mining engineer,writer,businessperson,engineer,politician,statesperson
Herbert J. Gans	1927	university teacher,university teacher,sociologist,sociologist
Herbert Kroemer	1928	physicist,university teacher
Herbert MacKay-Fraser	1927	engineer,racing automobile driver,Formula One driver
Herbert Marcuse	1898	university teacher,sociologist,philosopher,political theorist
Herbert Matter	1907	photographer,graphic designer,typographer,university teacher,graphic artist,designer
Herbert Matthews	1900	journalist
Herbert Morris	1915	rower
Herbert Simon	1916	computer scientist,politician,economist,political scientist,university teacher,sociologist
Herbert Spencer Gasser	1888	physician,psychologist,university teacher,physiologist
Herbie Hancock	1940	actor,conductor,pianist,singer-songwriter,bandleader,keyboardist,film score composer,jazz musician
Herman Autrey	1904	jazz musician
Herman Bing	1889	comedian,film actor
Herman F. Mark	1895	engineer,chemist,university teacher
Herman Frasch	1851	engineer,inventor,chemist,mining engineer
Herman Goldstine	1913	computer scientist,mathematician,university teacher,historian of mathematics
Herman Hollerith	1860	businessperson,businessperson,engineer,engineer,computer scientist,computer scientist,mathematician,mathematician,inventor,inventor,statistician,statistician
Herman Kahn	1922	mathematician,futurist,lobbyist
Herman Kiefer	1825	poet,diplomat,university teacher,revolutionary
Herman Melville	1819	writer,teacher,sailor,poet,lecturer,literary critic,novelist,art collector,essayist
Herman Otto Hartley	1912	mathematician,university teacher,statistician
Herman P. Goebel	1853	judge,lawyer,politician
Herman Wouk	1915	screenwriter,writer,novelist,science fiction writer,diarist
Hermann August Hagen	1817	zoologist,university teacher,entomologist
Hermann Braun	1917	actor,film actor
Hermann Braun	1918	actor,film actor
Hermann Broch	1886	writer,playwright,philosopher,essayist,prosaist
Hermann Collitz	1855	university teacher,linguist
Hermann Friedrich Graebe	1900	engineer,resistance fighter
Hermann Fränkel	1888	writer,university teacher,classical scholar,classical philologist
Hermann Nunberg	1884	psychiatrist,neurologist,psychoanalyst
Hermann Rauschning	1887	writer,politician,historian
Hermann Spiess	1818	naturalist
Hermann Weyl	1885	physicist,mathematician,university teacher,philosopher
Herrlee Glessner Creel	1905	university teacher,philosopher,sinologist
Herschel Daugherty	1910	television director,film director,television actor,film actor
Herta Herzog	1910	social scientist,market researcher,communication scholar
Hikaru Nakamura	1987	chess player
Hilarie Burton	1982	actor,television producer,film producer,television actor,film actor
Hilary Duff	1987	actor,writer,composer,businessperson,entrepreneur,singer,record producer,singer-songwriter,musician,voice actor,film producer,fashion designer,model,designer,novelist,television actor,film actor,manufacturer,recording artist
Hilary Hahn	1979	violinist
Hilary Lindh	1969	alpine skier
Hilary Putnam	1926	computer scientist,mathematician,university teacher,philosopher,non-fiction writer
Hilary Rhoda	1987	model
Hilary Swank	1974	actor,film producer,television actor,film actor
Hilda Geiringer	1893	mathematician,university teacher,statistician
Hilda Solis	1957	politician
Hilde Bruch	1904	psychiatrist
Hilla von Rebay	1890	artist,painter,art historian,art collector
Hillary Clinton	1947	writer,lawyer,politician,diplomat,university teacher,podcaster,autobiographer
Hillary Scott	1983	pornographic actor
Hillary Scott	1986	singer,singer-songwriter,songwriter
Hillel Slovak	1962	musician,songwriter,guitarist
Hillman Curtis	1961	author,graphic designer,film director,non-fiction writer
Hilly Kristal	1931	businessperson,musician
Hiltgunt Zassenhaus	1916	physician,translator,philologist,linguist
Hilton Jefferson	1903	saxophonist,jazz musician
Hines Holt	1805	lawyer,politician
Hiram Bingham III	1875	scientist,writer,politician,university teacher,aircraft pilot,archaeologist,explorer
Hiram Johnson	1866	lawyer,politician
Hiram McCullough	1813	lawyer,politician
Hobart Alter	1933	businessperson,sailor,designer
Holger Henke	1960	university teacher
Holland Taylor	1943	actor,stage actor,television actor,film actor
Holly Black	1971	writer,journalist,children's writer,novelist
Holly Brooks	1982	cross-country skier
Holly Gagnier	1958	actor,television actor,film actor
Holly Hunter	1958	television producer,stage actor,voice actor,film producer,television actor,film actor
Holly Lisle	1960	writer,novelist,science fiction writer
Holly Madison	1979	showgirl,reality television participant,television personality
Holly Marie Combs	1973	actor,television producer,television actor,film actor
Holly McPeak	1969	volleyball player,beach volleyball player
Home Run Baker	1886	baseball player
Homer Hoch	1879	judge,lawyer,politician
Hoodie Allen	1988	singer,musician,rapper
Hope Davis	1964	actor,stage actor,television actor,film actor
Hope Lange	1933	actor,stage actor,model,television actor,film actor
Hope Sandoval	1966	composer,singer,singer-songwriter,songwriter
Hope Solo	1981	association football player,model
Horace Ladd Moore	1837	lawyer,politician
Horace Maynard	1814	judge,lawyer,politician,diplomat
Horace R. Kornegay	1924	lawyer,politician
Horatio Allen	1802	engineer,inventor,civil engineer
Horatio Bisbee, Jr.	1839	lawyer,politician
Hornswoggle	1986	professional wrestler
Horst Feistel	1915	computer scientist,mathematician,cryptographer
Horst P. Horst	1906	photographer,artist,fashion photographer
Howard Baskerville	1885	teacher
Howard Dean	1948	physician,politician,stockbroker
Howard Fineman	1948	journalist
Howard Gardner	1943	psychologist,university teacher
Howard Greer	1886	costume designer,fashion designer
Howard Greer	1896	costume designer,fashion designer
Howard H. Aiken	1900	engineer,computer scientist,physicist,mathematician,inventor,university teacher,consultant
Howard Hawks	1896	screenwriter,actor,aircraft pilot,film director,film producer,film editor
Howard Hesseman	1940	comedian,television actor,film actor
Howard Hughes	1905	entrepreneur,inventor,aircraft pilot,film director,film producer,aerospace engineer
Howard Jackson	1951	actor,karateka,kickboxer,boxer
Howard Johnson	1964	cricketer
Howard Metzenbaum	1917	politician
Howard Morris	1919	stage actor,voice actor,film director,television actor,film actor,dub actor
Howard R. Hughes, Sr.	1869	businessperson,entrepreneur,inventor
Howard Shoup	1903	costume designer
Howard Temin	1934	biochemist,geneticist,virologist
Howard Wallace Pollock	1920	lawyer,politician
Howard Zinn	1922	writer,historian,playwright,political scientist,human rights activist,university teacher,journalist,film director,peace activist,labor historian
Howlin' Wolf	1910	singer,musician,songwriter,guitarist,street artist
Hoyt Axton	1938	singer,singer-songwriter,guitarist,television actor,film actor
Hubert Humphrey	1911	politician,pharmacist,trade unionist
Hubertus Strughold	1898	engineer,editor,university teacher,physiologist,military physician
Hudson Leick	1969	actor,stage actor,voice actor,model,television actor,film actor
Hugh David Politzer	1949	physicist,university teacher,nuclear physicist,theoretical physicist
Hugh Hefner	1926	actor,writer,entrepreneur,socialite,editor,journalist,publisher,film producer,political activist,philanthropist,activist,nightclub owner
Hugh J. Anderson	1801	politician
Hugh Nelson	1768	judge,politician,diplomat
Hugh Quincy Alexander	1911	lawyer,politician
Hugh Wolff	1953	conductor
Hugo Iltis	1882	biologist,botanist,geneticist,anthropologist
Hugo Münsterberg	1863	writer,psychologist,university teacher,philosopher
Hulk Hogan	1953	professional wrestler
Humphrey Bogart	1899	screenwriter,actor,character actor,stage actor,film actor
Humphrey Tonkin	1939	writer,professor,Esperantist,linguist,talk show guest,esperantologist
Hunter Johnson	1906	composer
Hunter Lovins	1950	jurist,university teacher,environmentalist
Hunter S. Thompson	1937	screenwriter,photographer,writer,reporter,politician,journalist,novelist,essayist,autobiographer
Hunter Tylo	1962	actor
Hurd Hatfield	1917	stage actor,television actor,film actor
Hurl Beechum	1973	basketball player
Hurley Haywood	1948	engineer,racing automobile driver
Husband Edward Kimmel	1882	military officer
Hyapatia Lee	1960	pornographic actor,stage actor,film actor
Hyleas Fountain	1981	athletics competitor
I. L. Patterson	1859	politician
I. M. Pei	1917	architect
Ian Crocker	1982	swimmer
Ian MacGregor	1983	sport cyclist
Ian Murdock	1973	engineer,computer scientist,programmer
Ian Somerhalder	1978	actor,stage actor,film producer,model,television actor,film actor
Ice Cube	1969	screenwriter,record producer,television producer,musician,character actor,rapper,film director,film producer,director,television actor,film actor
Ice La Fox	1983	actor,pornographic actor
Ice-T	1958	actor,writer,musician,rapper,voice actor,film director,television actor,film actor,podcaster
Ida B. Wells	1862	writer,human rights activist,journalist,sociologist,suffragist
Ida Henrietta Hyde	1857	inventor,university teacher,physiologist
Ida Ljungqvist	1981	Playboy Playmate,model
Ida Lupino	1918	screenwriter,television director,film director,film producer,television actor,film actor
Ida Rolf	1896	physician,chemist,biochemist
Ida Saxton McKinley	1847	politician
Ida Tarbell	1857	writer,historian,biographer,journalist,investigative journalist
Idina Menzel	1971	actor,singer,musician,stage actor,voice actor,television actor,film actor
Iggy Pop	1947	actor,singer,musician,songwriter,guitarist,recording artist
Ignace Gelb	1907	historian,archaeologist,anthropologist,linguist,assyriologist
Ignace Strasfogel	1909	composer,conductor,pianist
Ignacy Jan Paderewski	1860	composer,politician,diplomat,pianist,musicologist,music teacher,classical composer
Ignatius Anthony Catanello	1938	Catholic priest,university teacher
Ignazio Lupo	1877	gangster
Igor Olshansky	1982	American football player
Igor Rodnianski	1972	mathematician,university teacher
Igor Sikorsky	1889	businessperson,engineer,inventor,aircraft pilot,aerospace engineer
Igor Stravinsky	1882	composer,conductor,pianist,musician
Ike Nassi	1949	engineer,computer scientist
Ike Turner	1931	actor,conductor,singer,record producer,pianist,singer-songwriter,bandleader,guitarist,saxophonist,recording artist
Ileana Ros-Lehtinen	1952	politician
Ilene Chaiken	1957	screenwriter,television producer,executive producer,showrunner,film producer
Ilene Woods	1929	actor,singer,voice actor,television actor
Illeana Douglas	1965	screenwriter,actor,film director,television actor,film actor
Ilona Hegedűs	2000	writer,poet,science fiction writer
Ilse Bing	1899	photographer
Ilse Stanley	1906	actor,stage actor
Ilse-Margret Vogel	1914	writer,children's writer
Ilya Zhitomirskiy	1989	engineer,computer scientist,entrepreneur,software developer
Iman	1955	actor,entrepreneur,model,television actor,film actor,autobiographer
Imogen Cunningham	1883	photographer,university teacher,designer
Ina Garten	1948	writer,columnist,chef
Inara George	1974	actor,composer,singer,singer-songwriter,musician,songwriter
Inari Vachs	1974	pornographic actor,film actor,pornographic film director
India	1977	actor,singer,pornographic actor,rapper,film actor
India.Arie	1975	composer,singer,record producer,singer-songwriter,musician,guitarist,recording artist
Indra Nooyi	1955	businessperson,international forum participant
Inga Markovits	1937	lawyer,university teacher,legal historian,historian of Modern Age
Inge Auerbacher	1934	writer,chemist,autobiographer
Inge Morath	1923	photographer,photojournalist
Inger Miller	1972	sprinter,athletics competitor
Ingo Preminger	1911	lawyer,literary agent,film producer
Ingrid Daubechies	1954	physicist,mathematician,university teacher
Ingrid Michaelson	1979	singer-songwriter,musician,lyricist,guitarist,recording artist,composer,singer,pianist
Ione Skye	1970	television actor,film actor
Ira Gershwin	1896	composer,poet,songwriter,lyricist,librettist
Ira Gitler	1928	writer,music critic,university teacher,journalist
Ira Greenlief Hersey	1858	lawyer,politician
Ira H. Abbott	1906	engineer,aerospace engineer
Ira Levin	1929	screenwriter,writer,playwright,lyricist,novelist,science fiction writer
Ira Remsen	1846	chemist,university teacher
Ira Sachs	1965	screenwriter,writer,film director,film producer
Irakli Tsereteli	1881	politician,jurist,diplomat,historian,journalist
Irene Cara	1959	singer,pianist,singer-songwriter,stage actor,dancer,television actor,film actor,recording artist
Irene Dunne	1898	actor,singer,delegate,stage actor,television actor,film actor
Irene Harand	1900	writer,politician
Irene Higginbotham	1918	pianist,songwriter
Irene Kral	1932	singer,jazz musician
Irene Lentz	1900	costume designer,fashion designer,designer
Irene M. Giblin	1888	composer,pianist
Irene Manning	1912	actor,singer,stage actor,film actor
Irene Morgan	1917	activist,activist
Irene Pepperberg	1949	psychologist,ornithologist,university teacher
Irene Reid	1930	singer,jazz musician
Irene Stegun	1919	mathematician
Irene Worth	1916	actor,stage actor,television actor,film actor
Irina Falconi	1990	tennis player
Irina Krush	1983	chess player
Irina Levitina	1954	chess player,bridge player
Iris Chang	1968	writer,human rights activist,journalist,political activist
Iris Johansen	1938	actor,writer,novelist
Iris Yamashita	1965	screenwriter,writer,film director,film screenwriter
Irma Thomas	1941	composer,singer,musician,recording artist
Irma Wyman	1928	computer scientist
Irma von Cube	1899	screenwriter,actor,film director,film actor
Iron Sheik	1942	actor,amateur wrestler,professional wrestler
Irvin Kershner	1923	actor,film director,film producer,film editor,film actor
Irving Baxter	1876	athletics competitor,pole vaulter
Irving Berlin	1888	screenwriter,composer,pianist,musician,songwriter,lyricist,film score composer,musical theatre composer
Irving Johnson	1905	writer,explorer
Irving Kaplansky	1917	mathematician,university teacher
Irving Langmuir	1881	physicist,chemist,meteorologist,academic
Irving Moskowitz	1928	physician,businessperson
Irving Penn	1917	photographer,artist,fashion photographer
Irving Rapper	1898	actor,stage actor,film director,theatrical director
Irving S. Reed	1923	engineer,computer scientist,mathematician
Irving Stone	1903	screenwriter,writer,playwright,biographer,opinion journalist,novelist
Irving Wallace	1916	screenwriter,writer,journalist,novelist,science fiction writer
Irwin Rose	1926	chemist,biologist,university teacher,biochemist
Isaac Asimov	1920	screenwriter,writer,university teacher,journalist,biochemist,science writer,novelist,crime fiction writer,prosaist,non-fiction writer,autobiographer,science fiction writer
Isaac B. Van Houten	1776	politician
Isaac Bashevis Singer	1904	screenwriter,writer,translator,Esperantist,journalist,children's writer,novelist,prosaist,autobiographer
Isaac Bruce	1972	American football player
Isaac Dashiell Jones	1806	judge,lawyer,politician
Isaac Edward Holmes	1796	lawyer,politician
Isaac Hayes	1942	actor,composer,singer,record producer,pianist,singer-songwriter,musician,film score composer,voice actor,television actor,film actor,saxophonist,recording artist
Isaac Leffler	1788	judge,lawyer,politician
Isaac N. Ebey	1818	military personnel
Isaac Thomas Hecker	1819	writer,Catholic priest
Isabel Allende	1942	novelist
Isabel Sanford	1917	stage actor,voice actor,television actor,film actor
Isabella Rossellini	1952	film director,model,television actor,film actor,autobiographer
Isabelle Collin Dufresne	1935	actor,writer,painter,visual artist,film actor,activist
Isabelle Fuhrman	1997	actor,voice actor,television actor,film actor
Isadore Singer	1924	mathematician,university teacher
Isaiah Mustafa	1974	actor,television actor,film actor,American football player
Isaiah Thomas	1989	basketball player
Isaiah Washington	1963	television actor,film actor
Ish Smith	1988	basketball player
Isham G. Harris	1818	lawyer,politician
Isham Jones	1894	conductor,pianist,musician,songwriter,bandleader,violinist,saxophonist
Isiah Thomas	1961	basketball player,basketball coach,consultant
Isidor Isaac Rabi	1898	physicist,university teacher,nuclear physicist,theoretical physicist
Israel Kamakawiwoʻole	1959	singer,musician,songwriter
Israel Tsvaygenbaum	1961	painter,autobiographer
Itzhak Perlman	1945	professor,conductor,violinist
Iva Toguri D'Aquino	1916	radio personality
Ivan Fuqua	1909	athletics competitor
Ivan Illich	1926	writer,historian,Catholic priest,pedagogue,literary critic,anthropologist,philosopher
Ivan Lendl	1960	art collector,tennis player,golfer,tennis coach
Ivan Sag	1949	university teacher,linguist
Ivan Sutherland	1938	engineer,computer scientist,inventor,university teacher,programmer
Ivana Miličević	1974	actor,stage actor,voice actor,model,television actor,film actor
Ivana Trump	1949	writer,entrepreneur,hotel manager,alpine skier,skier,model,designer,novelist,autobiographer
Ivanka Trump	1981	writer,businessperson,politician,television presenter,fashion designer,model,non-fiction writer,international forum participant
Ivar Giaever	1929	scientist,engineer,physicist,university teacher
Ivie Anderson	1905	singer,jazz musician
Ivo Welch	1963	economist,university teacher
Ivory Joe Hunter	1911	pianist,singer-songwriter,musician
Ivory Joe Hunter	1914	pianist,singer-songwriter,musician
Iyaz	1987	singer
Iyeoka Okoawo	1975	writer,poet,singer,singer-songwriter,jazz musician
Izabella Miko	1981	actor,film producer,model,dancer,film actor
Izora Armstead	1942	singer,singer-songwriter
Izzy Stradlin	1962	guitarist
J	1977	singer
J. Barkley Rosser	1907	computer scientist,mathematician,university teacher,philosopher
J. C. R. Licklider	1915	computer scientist,psychologist,artificial intelligence researcher
J. Cole	1985	singer,songwriter,rapper,film director,film producer,basketball player,music producer
J. D. Salinger	1919	writer,novelist
J. Edgar Hoover	1895	lawyer,politician,librarian,military officer
J. George Stewart	1890	architect,politician
J. H. Hobart Ward	1823	military officer
J. J. Abrams	1966	screenwriter,actor,writer,composer,television producer,executive producer,film score composer,showrunner,television director,film director,film producer,television actor,film actor,manufacturer
J. K. Simmons	1955	actor,character actor,stage actor,voice actor,television actor,film actor
J. Kenneth Campbell	1947	actor,stage actor,television actor
J. Kenneth Robinson	1916	politician
J. Michael Straczynski	1954	screenwriter,actor,writer,playwright,television producer,journalist,film director,film producer,novelist,science fiction writer
J. Neil Schulman	1953	screenwriter,journalist,film director,novelist,short story writer,science fiction writer
J. P. Manoux	1969	television director,voice actor,television actor,film actor
J. P. Morgan	1837	entrepreneur,banker,financier,art collector
J. Paul Getty	1892	entrepreneur,industrialist,art collector,patron of the arts,autobiographer
J. Peter Sartain	1952	archbishop,Catholic priest,Catholic theologian
J. T. Brown	1990	ice hockey player
J. Terry Steib	1940	Catholic priest
J. Willard Ragsdale	1872	lawyer,politician
J. Z. Knight	1946	writer,psychic,spiritual teacher
J.J. Cale	1938	composer,singer,singer-songwriter,musician,guitarist,recording artist
Ja Rule	1976	actor,singer,musician,rapper,television actor,film actor
Jaak Panksepp	1943	professor,psychologist,researcher,neuroscientist
Jabez Upham	1764	lawyer,politician
Jacek Jędruch	1927	writer,engineer,historian,political scientist
Jacinda Barrett	1972	actor,model,television actor,film actor
Jack Anderson	1922	writer,journalist,non-fiction writer
Jack Angel	1930	disc jockey,stage actor,voice actor,radio personality,film actor
Jack Antonoff	1984	singer,record producer,singer-songwriter,guitarist
Jack Beeson	1921	composer
Jack Benny	1894	military officer,comedian,television presenter,violinist,radio personality,film producer,television actor,film actor
Jack Bicknell	1938	head coach,American football player
Jack Chesbro	1874	baseball player
Jack Clement	1931	screenwriter,singer,record producer,singer-songwriter,songwriter,film producer
Jack Coleman	1958	actor,television actor
Jack Conway	1887	actor,film director,film producer
Jack Cowart	1945	curator,art historian
Jack Dennis	1931	engineer,computer scientist,electrical engineer,university teacher
Jack Dongarra	1950	engineer,computer scientist,mathematician,university teacher
Jack Dorsey	1976	programmer,blogger,businessperson,computer scientist,entrepreneur,business executive
Jack Elton Bresenham	1937	engineer,computer scientist
Jack Finney	1911	screenwriter,writer,novelist,science fiction writer
Jack Ging	1931	television actor,film actor
Jack Heid	1924	sport cyclist
Jack Horner	1946	geologist,paleontologist,herpetologist
Jack Irons	1962	composer,drummer
Jack Johnson	1878	boxer
Jack Johnson	1975	composer,singer,record producer,singer-songwriter,musician,guitarist,film director,manufacturer,surfer,recording artist
Jack Jones	1938	singer,stage actor,voice actor,television actor,film actor
Jack Kerouac	1922	screenwriter,writer,poet,novelist,prosaist
Jack Ketchum	1946	screenwriter,writer,literary agent,novelist
Jack Kevorkian	1928	composer,physician,politician,painter,pathologist,jazz musician
Jack Kilby	1923	photographer,engineer,computer scientist,physicist,inventor,university teacher
Jack Klugman	1922	screenwriter,stage actor,television actor,film actor
Jack Kramer	1921	tennis player,sports journalist
Jack Lemmon	1925	actor,military officer,comedian,musician,television presenter,character actor,stage actor,film director,television actor,film actor
Jack London	1876	screenwriter,writer,poet,war correspondent,journalist,travel writer,children's writer,novelist,essayist,prosaist,autobiographer,science fiction writer,diarist
Jack McBean	1994	association football player
Jack McGrath	1919	motorcycle racer,racing automobile driver,Formula One driver
Jack McGurn	1902	gangster
Jack McGurn	1903	gangster
Jack Miles	1942	writer,Catholic priest,university teacher
Jack Molinas	1931	basketball player
Jack Nicholson	1937	screenwriter,actor,writer,character actor,film director,film producer,art collector,television actor,film actor
Jack Nicklaus	1940	architect,landscape architect,golfer
Jack Palance	1919	stage actor,model,television actor,film actor,boxer
Jack Parsons	1914	businessperson,poet,engineer,inventor,socialite,chemist,aerospace engineer,fencer
Jack R. Gage	1899	politician
Jack Ritchie	1922	writer,novelist,prosaist
Jack Ruby	1911	businessperson,businessperson,nightclub owner,nightclub owner
Jack Sholder	1945	screenwriter,film director,film editor
Jack Sock	1992	tennis player
Jack Steinberger	1921	physicist,university teacher
Jack Szostak	1952	professor,biologist,biochemist,geneticist,molecular biologist
Jack Thomas Brinkley	1930	lawyer,politician,military officer
Jack Turner	1920	engineer,racing driver,Formula One driver
Jack Tworkov	1900	artist,painter,printmaker
Jack Walrath	1946	composer,conductor,bandleader,jazz musician,recording artist
Jack Warner	1892	screenwriter,executive producer,film director,business executive,film producer,manufacturer
Jack White	1975	actor,composer,singer,record producer,drummer,pianist,singer-songwriter,musician,guitarist,mandolinist,recording artist
Jack Williams	1924	military personnel
Jack Williamson	1908	writer,novelist,science fiction writer
Jack Zipes	1937	writer,teacher,translator
Jackie Chan	1954	screenwriter,politician,singer,comedian,stunt performer,choreographer,film director,film producer,judoka,film actor,taekwondo athlete
Jackie DeShannon	1941	composer,singer,singer-songwriter,recording artist
Jackie Evancho	2000	actor,singer,musician,opera singer,film actor
Jackie Frazier-Lyde	1962	lawyer,boxer
Jackie Holmes	1920	engineer,racing driver,Formula One driver
Jackie Jackson	1951	singer,musician,songwriter,film producer,dancer
Jackie Joyner-Kersee	1962	athlete,basketball player,athletics competitor,long jumper,heptathlete
Jackie Mason	1928	screenwriter,rabbi,stage actor,voice actor,film producer,television actor,film actor
Jackie Robinson	1919	vice president,military officer,basketball coach,baseball player,athletics competitor
Jackie Speier	1950	lawyer,politician
Jackie Wilson	1934	singer
Jackson Douglas	1969	screenwriter,actor,film director,television actor,film actor
Jackson Pollock	1912	painter,printmaker,drawer
Jackson Rathbone	1984	actor,composer,singer,musician,model,television actor,film actor
Jacky Terrasson	1965	pianist,jazz musician
Jaclyn Smith	1945	actor,businessperson,entrepreneur,stage actor,film producer,model,television actor,film actor,manufacturer
Jaco Pastorius	1951	composer,bassist,musician,bandleader,jazz musician,recording artist
Jacob Albright	1759	priest,religious
Jacob Appelbaum	1983	computer scientist,journalist,blogger,LGBTQI+ rights activist,Internet activist
Jacob Artist	1992	actor,singer,dancer,television actor,film actor
Jacob Crocheron	1774	politician
Jacob Dolson Cox	1828	lawyer,politician,military officer
Jacob H. Bromwell	1848	judge,lawyer,politician
Jacob Hertzler	1703	priest
Jacob Klein	1899	mathematician,university teacher,philosopher,historian of mathematics
Jacob L. Moreno	1889	writer,psychiatrist
Jacob M. Appel	1973	writer,physician,poet,jurist,historian,psychiatrist,playwright,human rights activist,university teacher,journalist,novelist,medical writer
Jacob Marschak	1898	economist,university teacher,statistician
Jacob Matijevic	1947	engineer,mathematician
Jacob Mueller	1822	lawyer,journalist
Jacob Orgen	1893	gangster,rum-runner
Jacob Read	1752	politician
Jacob Schiff	1847	banker,financier
Jacob Sonderling	1878	writer,rabbi
Jacob Swoope	1766	politician
Jacob T. Schwartz	1930	computer scientist,mathematician,university teacher
Jacob Tyson	1773	judge,lawyer,politician
Jacque Fresco	1916	writer,architect,engineer,inventor,futurist,designer
Jacqueline Carey	1964	writer,novelist
Jacqueline Cochran	1906	politician,aircraft pilot
Jacqueline Emerson	1994	actor,singer,voice actor,television actor,film actor
Jacqueline Kennedy Onassis	1929	writer,socialite,journalist,literary editor,model
Jacqueline Kim	1965	screenwriter,actor,film director,film producer,television actor,film actor
Jacqueline Obradors	1966	actor,television actor,film actor
Jacqueline Susann	1918	actor,writer,stage actor,novelist,television actor,film actor
Jacqueline Wong	1989	actor,beauty pageant contestant
Jacques Loeb	1859	psychologist,zoologist,biologist,physiologist
Jacques Vallée	1939	astronomer,writer,businessperson,engineer,computer scientist,mathematician,investor,astrophysicist,science fiction writer,ufologist
Jad Fair	1954	composer,singer,singer-songwriter,guitarist
Jada Fire	1976	actor,pornographic actor,erotic photography model,film actor
Jada Pinkett Smith	1971	businessperson,entrepreneur,entrepreneur,singer,singer,singer-songwriter,singer-songwriter,television producer,television producer,musician,musician,songwriter,songwriter,voice actor,voice actor,film director,film director,film producer,film producer,director,director,television actor,television actor,film actor,film actor,television personality,television personality,screenwriter,screenwriter,actor,actor,writer,writer,composer,composer,businessperson
Jade Marcela	1980	pornographic actor
Jaden Smith	1998	actor,entrepreneur,singer,songwriter,rapper,dancer,television actor,film actor
Jaegwon Kim	1934	university teacher,philosopher
Jahmar Young	1986	basketball player
Jaime Bergman	1975	actor,Playboy Playmate,model,television actor,film actor
Jaime Herrera Beutler	1978	politician
Jaime King	1979	actor,model,television actor,film actor
Jaime Levy Russell	1966	computer scientist,computer scientist,university teacher,university teacher,advisor,advisor
Jaime Pressly	1977	actor,film producer,model,television actor,film actor
Jaime Ray Newman	1978	actor,stage actor,voice actor,film producer,television actor,film actor
Jaime Sifers	1983	ice hockey player
Jaimie Alexander	1984	actor,actor,television actor,television actor,film actor,film actor
Jairus C. Fairchild	1801	politician
Jake Gyllenhaal	1980	stage actor,voice actor,television actor,film actor
Jake Johnson	1978	screenwriter,actor,voice actor,film director,television actor,film actor
Jake LaMotta	1922	writer,stage actor,film actor,boxer,autobiographer
Jake Odorizzi	1990	baseball player
Jake Silbermann	1983	screenwriter,stage actor,film producer,television actor,film actor
Jakob August Lorent	1813	photographer,chemist,botanist,archaeologist
Jamaica Kincaid	1949	writer,playwright,gardener,university teacher,novelist,essayist
Jamal Shuler	1986	basketball player
Jameer Nelson	1982	basketball player,sports executive
James A. Allison	1872	entrepreneur
James A. Beaver	1837	judge,lawyer,politician
James A. Garfield	1831	writer,lawyer,politician,military officer,statesperson
James A. Johnson	1829	lawyer,politician
James A. Lockhart	1850	lawyer,politician
James A. Noe	1890	politician,farmer
James Abbe	1883	photographer,journalist,radio personality,fashion photographer
James Agee	1909	screenwriter,writer,poet,journalist,film director,film critic,critic,novelist,autobiographer
James Allen	1912	lawyer,politician
James Augustine	1984	basketball player
James Augustus Stewart	1808	judge,lawyer,politician
James B. Pollack	1938	astronomer
James B. Pritchard	1909	university teacher,archaeologist
James B. Sumner	1887	chemist,university teacher,biochemist,virologist
James Baker	1930	lawyer,politician,military officer,diplomat
James Baldwin	1924	screenwriter,writer,poet,playwright,civil rights advocate,university teacher,novelist,essayist,social critic
James Behrens	1824	zoologist,lepidopterist,entomologist
James Best	1926	screenwriter,actor,voice actor,film producer,television actor,film actor,autobiographer
James Biberi	1965	actor,television actor,film actor
James Bilbray	1938	judge,lawyer,politician
James Bjorken	1934	physicist,theoretical physicist
James Blake	1979	writer,tennis player,autobiographer
James Blish	1921	writer,literary critic,novelist,science fiction writer
James Bond	1900	curator,ornithologist
James Boyd	1930	boxer
James Breckinridge	1763	lawyer,politician
James Broselow	1943	physician,entrepreneur,inventor,docent
James Brown	1933	composer,politician,singer,record producer,pianist,singer-songwriter,musician,guitarist,sound designer,dancer,manufacturer
